Customer Number,PO Number,Store Number,Ship To name,ADDRESS 1,Address 2,CITY,State,Zip,Order Qty,Part Number,Req'd SHIP DATE
60000052,PH 2020ROLLOUT,14426,PIZZA HUT,2567 S SHIELDS ST ,STE B-D,FORT COLLINS,CO,80526,1,108-010,8/31/2020
,PH 2020ROLLOUT,14420,PIZZA HUT,450 DENVER AVE,,FORT LUPTON,CO,80621,1,108-010,8/31/2020
,PH 2020ROLLOUT,14421,PIZZA HUT,2439 W 10TH ST,,GREELEY,CO,80634,1,108-010,8/31/2020
,PH 2020ROLLOUT,14630,PIZZA HUT,831 S DETROIT ST,,YUMA,CO,80759,1,108-010,8/31/2020
,PH 2020ROLLOUT,6679,PIZZA HUT,320 S LINCOLN ST,,BURLINGTON,CO,80807,1,108-010,8/31/2020
,PH 2020ROLLOUT,22695,PIZZA HUT,250 E US HIGHWAY 24,,WOODLAND PARK,CO,80863,1,108-010,8/31/2020
,PH 2020ROLLOUT,22709,PIZZA HUT,5815 PALMER PARK BLVD,,COLORADO SPRINGS,CO,80915,1,108-010,8/31/2020
,PH 2020ROLLOUT,81401,PIZZA HUT,2331 S TOWNSEND AVE,,MONTROSE,CO,81401,1,108-010,8/31/2020
,PH 2020ROLLOUT,11424,PIZZA HUT,3611 KIRKWOOD HWY,,WILMINGTON,DE,19808,1,108-010,8/31/2020
,PH 2020ROLLOUT,11414,PIZZA HUT,779 N DUPONT HWY,,DOVER,DE,19901,1,108-010,8/31/2020
,PH 2020ROLLOUT,11420,PIZZA HUT,19068 COASTAL HWY,,REHOBOTH BEACH,DE,19971,1,108-010,8/31/2020
,PH 2020ROLLOUT,4282,PIZZA HUT,1050 N PONCE DE LEON BLVD ,,Saint Augustine,FL,32084,1,108-010,8/31/2020
,PH 2020ROLLOUT,26535,PIZZA HUT,500 S ATLANTIC AVE,,DAYTONA BEACH,FL,32118,1,108-010,8/31/2020
,PH 2020ROLLOUT,26496,PIZZA HUT,432 S ATLANTIC AVE,,ORMOND BEACH,FL,32176,1,108-010,8/31/2020
,PH 2020ROLLOUT,622018,PIZZA HUT,5421 ROOSEVELT BLVD,,JACKSONVILLE,FL,32210,1,108-010,8/31/2020
,PH 2020ROLLOUT,622071,PIZZA HUT,1141 DUNN AVE,,JACKSONVILLE,FL,32218,1,108-010,8/31/2020
,PH 2020ROLLOUT,622022,PIZZA HUT,7939 NORMANDY BLVD,,JACKSONVILLE,FL,32221,1,108-010,8/31/2020
,PH 2020ROLLOUT,14358,PIZZA HUT,1710 W TENNESSEE ST,,TALLAHASSEE,FL,32304,1,108-010,8/31/2020
,PH 2020ROLLOUT,30532,PIZZA HUT,1244 S JEFFERSON ST,,MONTICELLO,FL,32344,1,108-010,8/31/2020
,PH 2020ROLLOUT,13030,PIZZA HUT,1606 W JEFFERSON ST,,QUINCY,FL,32351,1,108-010,8/31/2020
,PH 2020ROLLOUT,12707,PIZZA HUT,938 W CENTRAL AVE,,BLOUNTSTOWN,FL,32424,1,108-010,8/31/2020
,PH 2020ROLLOUT,13369,PIZZA HUT,2117 S WAUKESHA ST,,BONIFAY,FL,32425,1,108-010,8/31/2020
,PH 2020ROLLOUT,13367,PIZZA HUT,1329 MAIN ST,,CHIPLEY,FL,32428,1,108-010,8/31/2020
,PH 2020ROLLOUT,14408,PIZZA HUT,2185 POST OAK LN,,MARIANNA,FL,32448,1,108-010,8/31/2020
,PH 2020ROLLOUT,12719,PIZZA HUT,5960 PENSACOLA BLVD,,PENSACOLA,FL,32505,1,108-010,8/31/2020
,PH 2020ROLLOUT,26270,PIZZA HUT,141 MIRACLE STRIP PKWY SW,,FT WALTON BCH ,FL,32548,1,108-010,8/31/2020
,PH 2020ROLLOUT,31182,PIZZA HUT,8692 NAVARRE PKWY ,NAVARRE SQUARE,NAVARRE,FL,32566,1,108-010,8/31/2020
,PH 2020ROLLOUT,12726,PIZZA HUT,6465 HIGHWAY 90,,MILTON,FL,32570,1,108-010,8/31/2020
,PH 2020ROLLOUT,27917,PIZZA HUT,15947 NW US HIGHWAY 441,,ALACHUA,FL,32615,1,108-010,8/31/2020
,PH 2020ROLLOUT,24428,PIZZA HUT,1105 N YOUNG BLVD,,CHIEFLAND,FL,32626,1,108-010,8/31/2020
,PH 2020ROLLOUT,29922,PIZZA HUT,23 E NOBLE AVE,,WILLISTON,FL,32696,1,108-010,8/31/2020
,PH 2020ROLLOUT,26504,PIZZA HUT,883 SEMORAN BLVD,,APOPKA,FL,32703,1,108-010,8/31/2020
,PH 2020ROLLOUT,26533,PIZZA HUT,1403 N WOODLAND BLVD,,DELAND,FL,32720,1,108-010,8/31/2020
,PH 2020ROLLOUT,26487,PIZZA HUT,917 SAXON BLVD,,ORANGE CITY,FL,32763,1,108-010,8/31/2020
,PH 2020ROLLOUT,26505,PIZZA HUT,3852 S ORLANDO DR,,SANFORD,FL,32773,1,108-010,8/31/2020
,PH 2020ROLLOUT,26493,PIZZA HUT,939 N CENTRAL AVE,,UMATILLA,FL,32784,1,108-010,8/31/2020
,PH 2020ROLLOUT,26539,PIZZA HUT,700 MAGUIRE BLVD,,ORLANDO,FL,32803,1,108-010,8/31/2020
,PH 2020ROLLOUT,26538,PIZZA HUT,8128 S ORANGE BLOSSOM TRL,,ORLANDO,FL,32809,1,108-010,8/31/2020
,PH 2020ROLLOUT,26541,PIZZA HUT,7060 INTERNATIONAL DR,,ORLANDO,FL,32816,1,108-010,8/31/2020
,PH 2020ROLLOUT,26544,PIZZA HUT,8699 PALM PKWY,,ORLANDO,FL,32836,1,108-010,8/31/2020
,PH 2020ROLLOUT,26498,PIZZA HUT,4850 BABCOCK ST NE,,PALM BAY,FL,32905,1,108-010,8/31/2020
,PH 2020ROLLOUT,26503,PIZZA HUT,1842 ROCKLEDGE DR,,ROCKLEDGE,FL,32955,1,108-010,8/31/2020
,PH 2020ROLLOUT,12356,PIZZA HUT,11091 SHERIDAN ST,,HOLLYWOOD,FL,33026,1,108-010,8/31/2020
,PH 2020ROLLOUT,12345,PIZZA HUT,25 N HOMESTEAD BLVD,,HOMESTEAD,FL,33030,1,108-010,8/31/2020
,PH 2020ROLLOUT,12337,PIZZA HUT,200 NW LEJEUNE RD,,MIAMI,FL,33126,1,108-010,8/31/2020
,PH 2020ROLLOUT,13576,PIZZA HUT,254 SE 1ST ST,,MIAMI,FL,33131,1,108-010,8/31/2020
,PH 2020ROLLOUT,14380,PIZZA HUT,6602 COLLINS AVE,,MIAMI,FL,33141,1,108-010,8/31/2020
,PH 2020ROLLOUT,12355,PIZZA HUT,10691 SW 40TH ST,,MIAMI,FL,33165,1,108-010,8/31/2020
,PH 2020ROLLOUT,12336,PIZZA HUT,5731 NW 36TH ST,,VIRGINIA GARDENS,FL,33166,1,108-010,8/31/2020
,PH 2020ROLLOUT,13721,PIZZA HUT,10379 NW 41ST ST,,DORAL,FL,33178,1,108-010,8/31/2020
,PH 2020ROLLOUT,12332,PIZZA HUT,1239 S FEDERAL HWY,,FORT LAUDERDALE,FL,33316,1,108-010,8/31/2020
,PH 2020ROLLOUT,12549,PIZZA HUT,23233 STATE ROAD 7,,BOCA RATON,FL,33428,1,108-010,8/31/2020
,PH 2020ROLLOUT,12548,PIZZA HUT,949 S MAIN ST,,BELLE GLADE,FL,33430,1,108-010,8/31/2020
,PH 2020ROLLOUT,25593,PIZZA HUT,6548 GALL BLVD,,ZEPHYRHILLS,FL,33542,1,108-010,8/31/2020
,PH 2020ROLLOUT,25607,PIZZA HUT,2316 JAMES L REDMAN PKWY,,PLANT CITY,FL,33563,1,108-010,8/31/2020
,PH 2020ROLLOUT,25584,PIZZA HUT,10619 GIBSONTON DR,,RIVERVIEW,FL,33578,1,108-010,8/31/2020
